year,chsa_code,chsa_name,month,deaths
2007,1372,West Kelowna,Oct,24
2007,1372,West Kelowna,Nov,24
2007,1372,West Kelowna,Dec,24
2007,1373,Lake Country,Jan,5
2007,1373,Lake Country,Feb,4
2007,1373,Lake Country,Mar,7
2007,1373,Lake Country,Apr,4
2007,1373,Lake Country,May,4
2007,1373,Lake Country,Jun,9
2007,1373,Lake Country,Jul,5
2007,1373,Lake Country,Aug,12
2007,1373,Lake Country,Sep,3
2007,1373,Lake Country,Oct,3
2007,1373,Lake Country,Nov,6
2007,1373,Lake Country,Dec,10
2007,1374,Glenmore,Jan,11
2007,1374,Glenmore,Feb,11
2007,1374,Glenmore,Mar,15
2007,1374,Glenmore,Apr,12
2007,1374,Glenmore,May,13
2007,1374,Glenmore,Jun,12
2007,1374,Glenmore,Jul,13
2007,1374,Glenmore,Aug,11
2007,1374,Glenmore,Sep,14
2007,1374,Glenmore,Oct,12
2007,1374,Glenmore,Nov,5
2007,1374,Glenmore,Dec,12
2007,1375,Downtown Kelowna,Jan,53
2007,1375,Downtown Kelowna,Feb,56
2007,1375,Downtown Kelowna,Mar,66
2007,1375,Downtown Kelowna,Apr,56
2007,1375,Downtown Kelowna,May,46
2007,1375,Downtown Kelowna,Jun,36
2007,1375,Downtown Kelowna,Jul,48
2007,1375,Downtown Kelowna,Aug,41
2007,1375,Downtown Kelowna,Sep,36
2007,1375,Downtown Kelowna,Oct,35
2007,1375,Downtown Kelowna,Nov,47
2007,1375,Downtown Kelowna,Dec,54
2007,1376,Rutland,Jan,22
2007,1376,Rutland,Feb,22
2007,1376,Rutland,Mar,28
2007,1376,Rutland,Apr,25
2007,1376,Rutland,May,27
2007,1376,Rutland,Jun,20
2007,1376,Rutland,Jul,22
2007,1376,Rutland,Aug,29
2007,1376,Rutland,Sep,16
2007,1376,Rutland,Oct,23
2007,1376,Rutland,Nov,12
2007,1376,Rutland,Dec,26
2007,1377,Okanagan Mission,Jan,9
2007,1377,Okanagan Mission,Feb,14
2007,1377,Okanagan Mission,Mar,13
2007,1377,Okanagan Mission,Apr,10
2007,1377,Okanagan Mission,May,10
2007,1377,Okanagan Mission,Jun,6
2007,1377,Okanagan Mission,Jul,14
2007,1377,Okanagan Mission,Aug,9
2007,1377,Okanagan Mission,Sep,4
2007,1377,Okanagan Mission,Oct,9
2007,1377,Okanagan Mission,Nov,14
2007,1377,Okanagan Mission,Dec,14
